date,temp_max_c,temp_min_c,temp_mean_c,precipitation_mm,rain_mm,year,month,month_name,season
2016-06-23,37.7,27.8,32.8,0.0,0.0,2016,6,Jun,Monsoon
2016-06-24,38.8,28.6,33.8,0.6,0.6,2016,6,Jun,Monsoon
2016-06-25,38.9,29.9,34.2,0.0,0.0,2016,6,Jun,Monsoon
2016-06-26,36.5,27.3,32.4,3.1,3.1,2016,6,Jun,Monsoon
2016-06-27,37.0,27.0,32.1,3.3,3.3,2016,6,Jun,Monsoon
2016-06-28,34.2,26.2,30.1,10.4,10.4,2016,6,Jun,Monsoon
2016-06-29,36.1,27.1,32.1,10.5,10.5,2016,6,Jun,Monsoon
2016-06-30,37.8,27.9,33.1,0.4,0.4,2016,6,Jun,Monsoon
2016-07-01,36.0,27.2,31.8,23.3,23.3,2016,7,Jul,Monsoon
2016-07-02,30.7,26.0,27.8,67.9,67.9,2016,7,Jul,Monsoon
2016-07-03,30.2,25.4,26.9,15.1,15.1,2016,7,Jul,Monsoon
2016-07-04,32.7,25.3,28.8,1.2,1.2,2016,7,Jul,Monsoon
2016-07-05,34.7,26.9,31.0,0.3,0.3,2016,7,Jul,Monsoon
2016-07-06,33.4,27.1,30.0,2.6,2.6,2016,7,Jul,Monsoon
2016-07-07,33.5,26.6,30.3,1.5,1.5,2016,7,Jul,Monsoon
2016-07-08,34.4,27.1,30.8,2.5,2.5,2016,7,Jul,Monsoon
2016-07-09,34.5,27.4,30.6,1.3,1.3,2016,7,Jul,Monsoon
2016-07-10,34.4,27.6,31.1,0.0,0.0,2016,7,Jul,Monsoon
2016-07-11,33.0,26.8,29.3,4.3,4.3,2016,7,Jul,Monsoon
2016-07-12,32.0,26.0,29.0,15.6,15.6,2016,7,Jul,Monsoon
2016-07-13,33.0,26.9,29.5,3.9,3.9,2016,7,Jul,Monsoon
2016-07-14,32.7,27.1,29.0,22.2,22.2,2016,7,Jul,Monsoon
2016-07-15,32.1,25.6,28.0,31.3,31.3,2016,7,Jul,Monsoon
2016-07-16,27.4,25.8,26.5,75.4,75.4,2016,7,Jul,Monsoon
2016-07-17,26.8,25.4,26.0,50.8,50.8,2016,7,Jul,Monsoon
2016-07-18,32.8,25.0,28.2,5.7,5.7,2016,7,Jul,Monsoon
2016-07-19,34.1,25.8,29.7,1.9,1.9,2016,7,Jul,Monsoon
2016-07-20,34.8,27.4,30.8,0.0,0.0,2016,7,Jul,Monsoon
2016-07-21,35.3,28.4,31.2,0.5,0.5,2016,7,Jul,Monsoon
2016-07-22,34.6,26.9,30.9,0.6,0.6,2016,7,Jul,Monsoon
2016-07-23,32.0,26.9,28.8,5.0,5.0,2016,7,Jul,Monsoon
2016-07-24,32.3,25.7,28.8,3.1,3.1,2016,7,Jul,Monsoon
2016-07-25,33.1,25.5,29.2,7.4,7.4,2016,7,Jul,Monsoon
2016-07-26,31.3,26.0,28.0,4.2,4.2,2016,7,Jul,Monsoon
2016-07-27,29.5,25.7,27.3,6.5,6.5,2016,7,Jul,Monsoon
2016-07-28,30.0,24.9,26.7,18.9,18.9,2016,7,Jul,Monsoon
2016-07-29,27.0,24.7,25.8,18.7,18.7,2016,7,Jul,Monsoon
2016-07-30,29.6,24.8,26.6,8.3,8.3,2016,7,Jul,Monsoon
2016-07-31,29.0,24.7,26.8,7.6,7.6,2016,7,Jul,Monsoon
2016-08-01,29.2,25.1,26.9,12.5,12.5,2016,8,Aug,Monsoon
2016-08-02,31.9,24.7,27.5,10.6,10.6,2016,8,Aug,Monsoon
2016-08-03,32.9,25.7,29.2,0.0,0.0,2016,8,Aug,Monsoon
2016-08-04,33.6,27.2,29.6,4.8,4.8,2016,8,Aug,Monsoon
2016-08-05,33.7,27.3,30.1,1.1,1.1,2016,8,Aug,Monsoon
2016-08-06,31.3,27.1,28.6,1.0,1.0,2016,8,Aug,Monsoon
2016-08-07,33.0,26.0,28.9,2.7,2.7,2016,8,Aug,Monsoon
2016-08-08,32.5,26.8,29.0,4.7,4.7,2016,8,Aug,Monsoon
2016-08-09,30.5,25.9,27.8,6.3,6.3,2016,8,Aug,Monsoon
2016-08-10,30.4,25.8,27.3,10.5,10.5,2016,8,Aug,Monsoon
2016-08-11,30.4,25.2,26.9,14.1,14.1,2016,8,Aug,Monsoon
2016-08-12,30.7,25.1,27.3,11.9,11.9,2016,8,Aug,Monsoon
2016-08-13,31.8,25.3,27.8,11.4,11.4,2016,8,Aug,Monsoon
2016-08-14,30.9,25.3,27.7,13.9,13.9,2016,8,Aug,Monsoon
2016-08-15,33.1,25.9,29.0,2.6,2.6,2016,8,Aug,Monsoon
2016-08-16,33.4,26.0,29.5,0.8,0.8,2016,8,Aug,Monsoon
